store,type_no,markdown_type,total_spend,active_weeks,total_spend_holiday,active_weeks_holiday,attributed_lift
16,1,Markdown Type 1,194881.52,51,10550.31,4,169945.81836485013
16,2,Markdown Type 2,36427.36,36,12890.28,3,103637.22847103688
16,3,Markdown Type 3,37518.25,41,34894.44,4,51078.19832071058
16,4,Markdown Type 4,63859.52,51,10190.26,4,12612.35486220882
16,5,Markdown Type 5,145267.06,51,11108.41,4,81043.75998119354
17,1,Markdown Type 1,302403.0,51,23804.3,4,1500488.8123244187
17,2,Markdown Type 2,112402.86,37,56071.74,3,395515.8608424389
17,3,Markdown Type 3,81100.86,43,62250.28,4,224951.79810247896
17,4,Markdown Type 4,132013.43,51,7065.38,4,434119.9912620949
17,5,Markdown Type 5,156688.53,51,11017.8,4,850313.9574685685
18,1,Markdown Type 1,441272.68,51,46558.72,4,1164104.91458406
18,2,Markdown Type 2,198384.91,42,57451.35,4,231707.45659751666
18,3,Markdown Type 3,79607.71,48,71989.72,4,-98436.78502609307
18,4,Markdown Type 4,202499.58000000002,51,17011.260000000002,4,451416.76145466213
18,5,Markdown Type 5,183974.92,51,15358.98,4,423419.7923898542
19,1,Markdown Type 1,535506.36,51,29355.77,4,-292662.7191107263
19,2,Markdown Type 2,189623.27,42,60318.009999999995,4,36670.58087222854
19,3,Markdown Type 3,105924.86,48,89318.07,4,-88714.56524963975
19,4,Markdown Type 4,246177.48,51,19309.55,4,-137267.37610761757
19,5,Markdown Type 5,264727.98,51,16976.14,4,-178173.34040424495
20,1,Markdown Type 1,573865.13,51,28841.87,4,1114722.086495239
20,2,Markdown Type 2,259599.33000000002,44,110992.54000000001,3,399011.31617414515
20,3,Markdown Type 3,136834.41,50,101865.43999999999,4,-14607.964672659467
20,4,Markdown Type 4,276599.02999999997,51,20515.22,4,488810.8692575064
20,5,Markdown Type 5,308751.15,51,16348.470000000001,4,703797.8327457691
21,1,Markdown Type 1,415832.25,51,39489.22,4,-839835.4309572498
21,2,Markdown Type 2,113680.29,41,36855.27,4,60045.82350238095
21,3,Markdown Type 3,44316.43,46,40707.340000000004,4,-65756.17979250195
21,4,Markdown Type 4,180109.52,51,20200.91,4,-293460.5576010684
21,5,Markdown Type 5,232442.69,51,13090.29,4,-772816.5551515609
22,1,Markdown Type 1,560673.09,51,31587.27,4,256342.14583033524
22,2,Markdown Type 2,191454.52,39,61468.81,3,150333.19369336768
22,3,Markdown Type 3,74478.19,46,70164.37,4,-47048.1096673569
22,4,Markdown Type 4,229405.85,51,12717.669999999998,4,75297.46822506591
22,5,Markdown Type 5,243191.72,51,19888.829999999998,4,24027.121918588105
23,1,Markdown Type 1,361801.97,51,26315.47,4,1000415.5556943617
23,2,Markdown Type 2,175035.55,41,58908.96,4,95710.82035544649
23,3,Markdown Type 3,118379.91,47,104371.58,4,-101954.0568079425
23,4,Markdown Type 4,194532.72,51,12195.06,4,462946.00402700435
23,5,Markdown Type 5,195811.76,51,14211.46,4,468943.3367311302
24,1,Markdown Type 1,553829.04,51,35196.25,4,577009.1092476661
24,2,Markdown Type 2,166650.87,43,51403.98,4,180892.43065646378
24,3,Markdown Type 3,73206.03,50,64695.04,4,-83663.22335502823
24,4,Markdown Type 4,252759.02,51,15792.470000000001,4,244059.9173524955
24,5,Markdown Type 5,264331.02,51,16987.87,4,83560.83609840288
25,1,Markdown Type 1,424034.6,51,37796.200000000004,4,503323.475516444
25,2,Markdown Type 2,144579.73,41,55598.78,3,142675.08503424426
25,3,Markdown Type 3,64011.07,47,58751.7,4,-1510.3606631559092
25,4,Markdown Type 4,202730.82,51,22966.23,4,203996.43092109103
25,5,Markdown Type 5,171732.98,51,11989.95,4,178330.50919137654
26,1,Markdown Type 1,322176.67,51,14479.26,4,590079.7610935909
26,2,Markdown Type 2,92456.28,41,37056.439999999995,4,190432.664114098
26,3,Markdown Type 3,50058.89,49,45245.18,4,-13987.999625296648
26,4,Markdown Type 4,95575.91,50,7263.01,3,113815.2066135344
26,5,Markdown Type 5,193630.1,51,12243.74,4,360235.31780407345
27,1,Markdown Type 1,635290.97,51,38397.96,4,-1085385.0898683048
27,2,Markdown Type 2,213679.74,43,56366.53,4,-47278.77599315355
27,3,Markdown Type 3,93094.05,50,74573.93,4,-248560.12685670948
27,4,Markdown Type 4,301272.28,51,19545.68,4,-396455.41448410595
27,5,Markdown Type 5,291031.42,51,17574.18,4,-778250.6127977264
28,1,Markdown Type 1,511336.8,51,34595.43,4,-366590.5464897342
28,2,Markdown Type 2,116671.43,43,52823.71,4,203621.76896596033
28,3,Markdown Type 3,68081.49,47,61607.590000000004,4,-35348.23044886486
28,4,Markdown Type 4,212157.22,51,19049.14,4,-112556.81367535776
28,5,Markdown Type 5,352242.35,51,28882.28,4,-38758.6283520037
29,1,Markdown Type 1,274527.83,51,24405.420000000002,4,197166.13407301225
29,2,Markdown Type 2,75198.74,37,19631.96,3,70616.34869576684
29,3,Markdown Type 3,51670.66,47,47383.21,4,-106520.11038520333
29,4,Markdown Type 4,70867.35,51,6209.08,4,22933.958357134692
29,5,Markdown Type 5,127615.1,51,10318.66,4,-126837.4607407106
30,1,Markdown Type 1,20954.07,49,3125.02,4,73169.23612480822
30,2,Markdown Type 2,7625.19,16,2031.77,2,-1849.488772236479
30,3,Markdown Type 3,642.93,37,176.69,2,2964.698272781549
30,4,Markdown Type 4,866.5,18,68.42,2,4205.830990740869
30,5,Markdown Type 5,99157.0,51,4628.93,4,367537.57338390575
31,1,Markdown Type 1,490888.93,51,36875.76,4,15658.303052483314
31,2,Markdown Type 2,105364.19,40,28660.539999999997,4,222738.1125623391
31,3,Markdown Type 3,46426.65,49,41016.9,4,65498.14999686947
31,4,Markdown Type 4,174566.04,51,14344.62,4,-65452.302405837596
31,5,Markdown Type 5,393528.91,51,15731.24,4,50677.31679414575
32,1,Markdown Type 1,448453.02,51,33234.54,4,679557.2712596738
32,2,Markdown Type 2,172908.11,43,61658.17,4,270405.0120734168
32,3,Markdown Type 3,78560.18,50,72516.65999999999,4,52563.617292070056
32,4,Markdown Type 4,213746.57,51,31592.9,4,266620.812548096
32,5,Markdown Type 5,264609.21,51,13368.51,4,413374.8368267434
33,1,Markdown Type 1,16776.41,49,2009.23,4,169453.4667078252
33,2,Markdown Type 2,4536.42,20,1927.29,3,27709.307505011984
33,3,Markdown Type 3,66.85,20,9.89,2,606.8797559488373
33,4,Markdown Type 4,212.0,7,25.2,1,2333.1096851320035
33,5,Markdown Type 5,85214.85,51,4285.15,4,604385.016346082
34,1,Markdown Type 1,281984.39,51,28327.370000000003,4,650220.972177781
34,2,Markdown Type 2,84708.33,41,26621.530000000002,3,138458.85406377065
34,3,Markdown Type 3,46965.41,48,42750.37,4,28440.95541903348
34,4,Markdown Type 4,86856.05,51,15597.550000000001,4,176845.1479052279
34,5,Markdown Type 5,201945.46,51,12902.15,4,473875.78043418704
35,1,Markdown Type 1,550817.84,51,31619.31,4,311542.46186922427
35,2,Markdown Type 2,112488.97,28,39140.02,2,178656.92769176327
35,3,Markdown Type 3,77245.0,48,58803.549999999996,4,-177325.9480093346
35,4,Markdown Type 4,218259.3,51,14900.09,4,106890.65031081202
35,5,Markdown Type 5,247215.44,51,25234.489999999998,4,-160340.1018624648
36,1,Markdown Type 1,15332.59,49,1830.02,4,-561935.5869549776
36,2,Markdown Type 2,7405.73,19,1294.11,2,-268577.4919967623
36,3,Markdown Type 3,39.38,18,5.57,2,-2246.342771391252
36,4,Markdown Type 4,394.83,11,50.4,1,-12549.794030101675
36,5,Markdown Type 5,69997.76,51,4373.0599999999995,4,-2620710.924246767
37,1,Markdown Type 1,14374.61,47,960.99,4,38298.582131956384
37,2,Markdown Type 2,4966.54,18,1060.77,2,6062.057480489339
37,3,Markdown Type 3,929.82,40,292.82,3,1899.5081850075512
37,4,Markdown Type 4,645.8100000000001,5,364.81,2,1260.1040868895873
37,5,Markdown Type 5,71821.65,51,5344.09,4,299865.57811565715
38,1,Markdown Type 1,20861.5,51,1412.8899999999999,4,479916.2829853971
38,2,Markdown Type 2,7183.7,18,1938.15,2,162258.45915605844
38,3,Markdown Type 3,618.43,40,189.59,3,16523.59799767584
38,4,Markdown Type 4,983.99,21,35.05,3,11949.628248946767
38,5,Markdown Type 5,80372.0,51,5045.0,4,2108016.441611922
39,1,Markdown Type 1,433628.07,51,35450.159999999996,4,2143925.942121215
39,2,Markdown Type 2,134252.4,41,56134.850000000006,4,831432.4909574655
39,3,Markdown Type 3,84854.47,48,77632.85,4,234149.6765680967
39,4,Markdown Type 4,174252.15,51,9438.46,4,740653.4747526989
39,5,Markdown Type 5,966048.89,51,32763.21,4,3852859.145600524
40,1,Markdown Type 1,326959.94,51,19467.3,4,516796.9249400218
40,2,Markdown Type 2,95609.63,39,29645.53,3,181482.78552911023
40,3,Markdown Type 3,46931.24,47,40673.03,4,56312.18229333239
40,4,Markdown Type 4,125631.98,51,13198.61,4,177761.88415579934
40,5,Markdown Type 5,204792.49,51,15194.3,4,397346.30308173626
41,1,Markdown Type 1,415673.29,51,23853.3,4,1886658.0121827577
41,2,Markdown Type 2,159999.85,40,64801.869999999995,4,512039.5010337436
41,3,Markdown Type 3,86580.23,50,80028.14,4,63066.35933300814
41,4,Markdown Type 4,211217.03,51,18915.34,4,742217.1466542244
41,5,Markdown Type 5,250610.78,51,16236.58,4,1448870.6307962665
42,1,Markdown Type 1,17407.28,48,1601.99,4,179561.6777546052
42,2,Markdown Type 2,11482.73,18,1461.19,2,174346.6362016961
42,3,Markdown Type 3,807.5699999999999,41,254.64,4,11806.881703907353
42,4,Markdown Type 4,811.6800000000001,10,256.66,2,-634.6790228140223
42,5,Markdown Type 5,63336.840000000004,51,5722.45,4,911316.7533626053
43,1,Markdown Type 1,16674.05,51,1595.79,4,83984.75273474898
43,2,Markdown Type 2,9514.38,15,1926.05,1,59499.387936243336
43,3,Markdown Type 3,483.59,43,51.12,3,7523.271245940027
43,4,Markdown Type 4,979.66,6,101.16,2,-1011.3758166874358
43,5,Markdown Type 5,64093.7,51,3551.6,4,535501.473899755
44,1,Markdown Type 1,25705.16,49,3155.6499999999996,3,450655.0735735017
44,2,Markdown Type 2,4144.59,15,1577.92,2,48668.16960239351
44,3,Markdown Type 3,804.33,38,182.64,2,26058.654642431775
44,4,Markdown Type 4,362.94,11,17.64,1,5883.8684031704
44,5,Markdown Type 5,44520.02,51,2452.36,4,1100830.1537785027
45,1,Markdown Type 1,440982.94,51,30529.97,4,203870.66298212594
45,2,Markdown Type 2,139828.54,42,50453.13,4,265731.17888602783
45,3,Markdown Type 3,33024.14,49,27307.5,4,-69282.39706346917
45,4,Markdown Type 4,171703.26,51,7897.14,4,58787.43082043561
45,5,Markdown Type 5,205566.89,51,8601.41,4,24603.844374879798
