store,dept,type_no,markdown_type,allocated_spend,attributed_lift,allocated_spend_holiday,attributed_lift_holiday
1,10,5,Markdown Type 5,5038.154149244834,18526.26372629304,302.79359322100356,298.58848196758197
1,11,1,Markdown Type 1,6694.411712827008,1316.41647094625,318.8435944033855,4633.8761364713455
1,11,2,Markdown Type 2,1935.9500508539154,1719.363250346955,831.6204337531848,2837.766096728238
1,11,3,Markdown Type 3,976.3489469182051,-2666.7076731206666,886.8173137906571,-2458.6195487545465
1,11,4,Markdown Type 4,3030.9095372232646,4115.1726595350365,161.2854008907146,3006.518857089961
1,11,5,Markdown Type 5,4234.56716861785,2368.905292292424,196.33306695545087,2369.658458465006
1,12,1,Markdown Type 1,2804.2156105109643,-1753.9050538637591,132.58080491037896,1513.5105750439725
1,12,2,Markdown Type 2,706.5354558161143,845.7946773217271,265.4532530881893,999.045769006061
1,12,3,Markdown Type 3,306.6893321443079,-1655.793193005841,276.6601766139706,-1753.5444493543662
1,12,4,Markdown Type 4,1289.0627626117723,-747.7344793056417,73.48793780863639,1022.8176121547871
1,12,5,Markdown Type 5,1697.294017758689,-587.3319511464916,77.99022242378639,785.0004931495464
1,13,1,Markdown Type 1,10215.23157852758,45216.61660649816,591.5630451286171,4953.758574450859
1,13,2,Markdown Type 2,3087.0248665945264,5953.661271125495,1304.558572661477,230.32567491659503
1,13,3,Markdown Type 3,1219.923632986532,646.8912226856085,1105.0062979077243,287.0333114749257
1,13,4,Markdown Type 4,4742.600955542832,20279.52861036792,315.85602727303666,3562.358414989259
1,13,5,Markdown Type 5,6270.977813881313,29979.38228932285,350.49475859078854,2496.8440241683757
1,14,1,Markdown Type 1,3840.481745391962,18061.31650950773,277.91368434248034,1494.2120725249374
1,14,2,Markdown Type 2,1541.709381426709,6053.595322935019,802.7135826005781,3703.642250241345
1,14,3,Markdown Type 3,1155.2899278939299,1650.3010224979282,1097.2740608275901,1514.5013048855474
1,14,4,Markdown Type 4,1736.8943986776007,8683.0454064936,132.4694506164461,740.0477477589601
1,14,5,Markdown Type 5,2527.314667558579,10280.84173856571,175.87851807558988,881.4766245892076
1,16,1,Markdown Type 1,5913.702343081906,44377.2824521581,165.2377371154542,2538.4745180816262
1,16,2,Markdown Type 2,792.930244703789,1728.7262002396585,209.51882830835223,758.9172549666615
1,16,3,Markdown Type 3,322.5113238475048,-542.5984104456737,265.39525423196477,-787.5599512746719
1,16,4,Markdown Type 4,2468.476351069579,18300.650097174268,101.23472967564392,1751.9840288078924
1,16,5,Markdown Type 5,3308.77926173674,19785.409660873636,92.14547002749788,1287.7641494184902
1,17,1,Markdown Type 1,2434.598411871417,-8577.643341319594,167.92046365176432,-5.814260649822335
1,17,2,Markdown Type 2,850.9049945068524,-1723.0002153156872,398.2889775953744,35.42680121807086
1,17,3,Markdown Type 3,415.25833833046084,-1230.8552039495328,383.5418167668941,-987.8372745865548
1,17,4,Markdown Type 4,1168.1564032294073,-3543.740338363093,86.36040757423407,31.927693669540155
1,17,5,Markdown Type 5,1557.2656262011076,-5933.800901052099,100.69783315062399,3.8670403487657055
1,18,1,Markdown Type 1,1227.0466466616572,7530.757315138189,218.35613843769343,-749.2813982182988
1,18,2,Markdown Type 2,1067.918406649009,3044.122064194828,762.3300121878742,158.22901260833012
1,18,3,Markdown Type 3,1041.8720271733341,-3678.2327674203248,974.152914287322,-3362.5023604436938
1,18,4,Markdown Type 4,535.655118990653,3749.8827785500102,90.4080534381622,-481.527742673248
1,18,5,Markdown Type 5,1749.992143843753,-10574.019390462714,142.78141112443188,-372.0475112730886
1,19,1,Markdown Type 1,308.96323755468455,-411.27500034664644,20.136671822589083,-79.10626512471394
1,19,2,Markdown Type 2,105.22190042311209,-1465.2622256755913,47.273149970195895,-354.06950432138746
1,19,3,Markdown Type 3,36.34028331718945,-251.8510824200796,32.15331903658873,-279.395515300969
1,19,4,Markdown Type 4,145.1669916915359,-315.4312170483004,10.449397760409164,-12.927858972327616
1,19,5,Markdown Type 5,203.02816887272814,-103.76047450938249,11.966755020323054,-49.330856280602276
1,20,1,Markdown Type 1,1020.4806580950388,11426.077976100441,56.19490283957999,1292.0621966368885
1,20,2,Markdown Type 2,288.03165188296884,3185.3939828305834,127.08478211648904,1053.6978615918501
1,20,3,Markdown Type 3,183.43499004223278,-356.2019619324705,172.03159168755286,-546.520497261403
1,20,4,Markdown Type 4,474.8862007497734,3843.9766851856994,29.71884115189979,787.806628156082
1,20,5,Markdown Type 5,615.4737771504149,7210.963317815746,33.92880281511049,661.2838108765823
1,21,1,Markdown Type 1,2064.3100124960342,1017.1645353384268,123.79183422589902,363.8702390032467
1,21,2,Markdown Type 2,604.6392191653873,1449.6248074998919,248.14639460211382,861.2089528768349
1,21,3,Markdown Type 3,287.5098592735287,1155.4518239536942,261.45476222424765,1051.3318433597944
1,21,4,Markdown Type 4,960.5370359414615,-498.65859088477663,67.44555787772788,192.70021524514544
1,21,5,Markdown Type 5,1305.1500889629524,-594.9925759072393,72.463472485866,221.72874951497852
1,22,1,Markdown Type 1,2214.2779736598054,-6881.016594961145,176.58936768634518,-567.4132215206805
1,22,2,Markdown Type 2,854.9039165857781,-1960.160095522299,435.3744288662512,-517.8953513189834
1,22,3,Markdown Type 3,482.08083735957524,4198.433533998329,453.1951830323962,4685.372055267539
1,22,4,Markdown Type 4,1121.7401264018933,-2983.2280421222254,90.19765816708298,-487.8243016088914
1,22,5,Markdown Type 5,1383.4997490239266,-4593.678801392666,107.13019078256255,-307.2191808189858
1,23,1,Markdown Type 1,5575.447516472356,3916.7826667148815,330.0019096600574,2098.5602131466107
1,23,2,Markdown Type 2,1640.8559753438683,2344.485770943522,704.8724556405053,5096.077481136893
1,23,3,Markdown Type 3,1039.9470450593979,-2752.5059518369753,956.4333044579072,-1413.2993453891954
1,23,4,Markdown Type 4,2605.1491655342666,5387.249788942508,173.5077612468229,1112.8033968062978
1,23,5,Markdown Type 5,3600.4148965294266,-2318.2022747639376,195.8362289765597,1228.368254299392
1,24,1,Markdown Type 1,1578.2956982432165,9685.612970879112,100.91810225805858,329.6598351836303
1,24,2,Markdown Type 2,453.69907795538495,-1654.3819165836483,186.53864990879876,162.7882380129862
1,24,3,Markdown Type 3,364.53683150802385,-1393.9638621322047,341.5037978406242,-1043.818816694282
1,24,4,Markdown Type 4,798.1386368244691,6047.534147266451,54.11834514283644,266.65461236051664
1,24,5,Markdown Type 5,1029.0198357748181,2176.888660570283,58.7907615260975,177.2461311371486
1,25,1,Markdown Type 1,2568.9524382982468,13282.361058271177,135.52351920389594,104.93772704967792
1,25,2,Markdown Type 2,666.6201884496759,3378.1908904124093,278.104361771528,2028.3182885885756
1,25,3,Markdown Type 3,363.72296556585866,390.0752849633714,330.4912296260182,490.32412953858164
1,25,4,Markdown Type 4,1191.4957263952979,5298.505397096577,73.50485168333206,-171.7002788975943
1,25,5,Markdown Type 5,1611.0414672316424,5063.887369256463,79.97722386778712,101.0801337207594
1,26,1,Markdown Type 1,1621.4456060715822,5282.182570193784,103.16190000274179,849.8838029994537
1,26,2,Markdown Type 2,483.9247761452124,-808.633729116722,201.5750412522836,286.4834605935674
1,26,3,Markdown Type 3,366.09976322682365,-3593.1723747550905,341.67059694644354,-3159.9873144016315
1,26,4,Markdown Type 4,757.3763609221637,2688.1360225977337,54.67226400484114,591.6589929227772
1,26,5,Markdown Type 5,1073.696073869469,2407.2375110802946,60.510436585671314,412.04105788583496
1,27,1,Markdown Type 1,334.8973369157091,4341.051936594154,23.815759534951273,519.6394869373696
1,27,2,Markdown Type 2,133.96425597916604,1705.477538797287,61.69955246726124,1140.4088138544823
1,27,3,Markdown Type 3,66.3068187866895,5.240559709527899,60.33671672565531,-95.37665453250115
1,27,4,Markdown Type 4,160.8182884413554,1675.7964214523906,11.720036787127741,283.1908910731427
1,27,5,Markdown Type 5,237.25138915829703,2183.55354344664,14.479944805475109,301.0574626675064
1,28,1,Markdown Type 1,150.4447802826067,-1276.6971492216535,10.596544560412699,-43.48631329431762
1,28,2,Markdown Type 2,55.276229962581276,-190.0206492490619,20.728999962979444,149.93827573564835
1,28,3,Markdown Type 3,28.874539767511646,-434.63820761379174,26.7798059135167,-398.47808231103124
1,28,4,Markdown Type 4,68.47674835147279,-372.4042658042168,5.67738490892534,-41.92658185061739
1,28,5,Markdown Type 5,101.18049021501312,-1091.069728111276,6.1722666611353425,-19.017298279682247
1,29,1,Markdown Type 1,1228.3947845874036,-1692.1679090169125,87.66794139146835,726.3793532773461
1,29,2,Markdown Type 2,446.23400018387946,318.54506486718225,198.98968605212423,1730.9442312563574
1,29,3,Markdown Type 3,208.01923364437855,-1162.551359451284,189.90110166185104,-931.2311138444945
1,29,4,Markdown Type 4,581.6825778310916,250.78354629296635,45.09421843603723,369.8501401173017
1,29,5,Markdown Type 5,784.5701671182554,-2274.60934269195,51.92341469060302,414.3473891934893
1,30,1,Markdown Type 1,934.0412580071508,-9338.5089989811,55.991235558166224,-55.30483698241398
1,30,2,Markdown Type 2,259.2865182459905,-1866.8854205051884,100.57602026282527,-233.4973643529375
1,30,3,Markdown Type 3,92.26216330061858,68.87046377090331,82.00104817765958,300.24332402323756
1,30,4,Markdown Type 4,444.737712352187,-2967.1533723912025,30.892319312546427,-28.624803664331907
1,30,5,Markdown Type 5,563.8115704993974,-7984.342671893415,31.878453356262106,-36.36631902355477
1,31,1,Markdown Type 1,699.9255609680683,-6892.640609718804,36.12975611712003,-178.4085470585725
1,31,2,Markdown Type 2,209.62184460038722,-2246.058694808176,87.55798454196717,-124.05071285133289
1,31,3,Markdown Type 3,88.26937706595214,-1507.2253318615672,79.3998105052738,-1196.4885643748648
1,31,4,Markdown Type 4,361.0576518150363,-1906.790852127438,18.32553318640457,-98.43996501215122
1,31,5,Markdown Type 5,447.41680461257863,-7789.874511484015,21.672594679589487,-96.47221070307828
1,32,1,Markdown Type 1,2127.5645752958512,-9411.635456998994,174.04202619884478,543.8165931539379
1,32,2,Markdown Type 2,742.1364988089857,5729.670089666418,358.9688100034135,4481.102617127164
1,32,3,Markdown Type 3,341.698050571347,-2541.029093394077,305.0410010728763,-1559.773167625619
1,32,4,Markdown Type 4,977.3008667049479,512.279217715675,92.34331612152818,73.9402047450528
1,32,5,Markdown Type 5,1359.6218823867823,-9553.744756989021,101.17880605642017,436.79375259946005
1,33,1,Markdown Type 1,1460.256618302236,11312.698764801098,90.41965458924028,269.46659193514694
1,33,2,Markdown Type 2,389.2263401306864,-531.543629295577,153.14693182521728,891.5670769450333
1,33,3,Markdown Type 3,317.25663787224613,445.26566711689884,294.9131227730846,501.5970433636586
1,33,4,Markdown Type 4,706.6125809913385,7288.501063324256,49.56113717855031,172.60057431974306
1,33,5,Markdown Type 5,963.0849707278935,4906.23813405332,52.06351006018976,188.3787134364168
1,34,1,Markdown Type 1,2900.1173825509723,35684.833789448705,175.9727507518522,1507.4096547546312
1,34,2,Markdown Type 2,826.7179620751868,4688.023715904173,352.90566185716597,1783.300922816477
1,34,3,Markdown Type 3,533.2351886040764,-2138.2818301928187,496.2951857416186,-2484.842979693188
1,34,4,Markdown Type 4,1358.1567920838645,11994.929652346613,93.83897736557256,935.33712331405
1,34,5,Markdown Type 5,1790.602894529555,23166.48467249333,103.30860268277202,797.69527880803
1,35,1,Markdown Type 1,690.7639847547686,-4358.384727099343,42.34785221823357,-94.38966204242827
1,35,2,Markdown Type 2,187.6779096608147,469.32417192512673,79.00394144093998,590.0466479831078
1,35,3,Markdown Type 3,91.62702398705454,126.68472108872963,82.5344071446499,253.31352657142813
1,35,4,Markdown Type 4,319.27251039993115,-1492.8280302930316,23.17159153252211,-138.05461356620495
1,35,5,Markdown Type 5,430.8381673330295,-4389.766135621484,24.393704054278317,-31.665898945903283
1,36,1,Markdown Type 1,340.63814432607643,4432.829209567223,11.772647211175158,983.7530915138342
1,36,2,Markdown Type 2,75.02197333540475,2612.46174840929,36.773710710963215,1777.9297612913301
1,36,3,Markdown Type 3,73.52974445214663,-660.3660073529402,65.74327707811128,-741.1370023455058
1,36,4,Markdown Type 4,134.1103512532709,2495.4633589609793,5.484361731708866,504.84792255868825
1,36,5,Markdown Type 5,237.82039554390852,2233.7416904154475,7.7355709640939985,530.5762269816536
1,37,1,Markdown Type 1,771.4524010631367,-444.0473881892259,53.08538645634539,-115.36776303662886
1,37,2,Markdown Type 2,232.5359498345815,13.291248709134424,105.87637044616612,-409.82677173066276
1,37,3,Markdown Type 3,89.52357980313256,-46.00797140318823,81.5152668694832,-42.673756551059775
1,37,4,Markdown Type 4,375.878259187266,-532.6274641443388,28.86809718433452,-50.90549071449139
1,37,5,Markdown Type 5,456.5880621805837,-158.10842497238377,30.779629630885385,-73.22621796715814
1,38,1,Markdown Type 1,21014.956380428248,24219.99826665508,1149.3347881578172,-296.8775201898334
1,38,2,Markdown Type 2,6322.236488923957,6070.805548068161,2559.94357698651,-1313.5969068821566
1,38,3,Markdown Type 3,1863.0061147682513,2808.9191318574153,1616.9539454557007,1535.5819002420826
1,38,4,Markdown Type 4,9841.27061480713,11329.76287398645,616.4838457461212,-582.3161033394787
1,38,5,Markdown Type 5,12725.937070329352,39855.58417943285,679.3520827728838,-346.08136983059904
1,40,1,Markdown Type 1,15692.373535626286,36603.32691532728,1017.5162184626015,1581.7152458758435
1,40,2,Markdown Type 2,5198.424592325401,-2315.966498774938,2257.992084363996,-2520.013676390209
1,40,3,Markdown Type 3,1811.9155774136937,-2561.267880283709,1624.6932455754923,-2463.4949157335823
1,40,4,Markdown Type 4,7301.82573864909,18135.447947879784,538.8808569270863,1492.5215413268468
1,40,5,Markdown Type 5,9806.292944302906,24125.999515851614,600.0765151332024,733.2418049210949
1,41,1,Markdown Type 1,267.30967369807166,-4901.73506815518,19.36874009344531,195.90444269071972
1,41,2,Markdown Type 2,71.17753456264775,-642.1135092717153,33.54371032255908,479.4542017206986
1,41,3,Markdown Type 3,62.999221777042024,1220.6187184073115,59.24300017467801,1170.477873188942
1,41,4,Markdown Type 4,126.27322766304579,-2047.7621231600394,10.631520815641036,149.69546283697065
1,41,5,Markdown Type 5,167.29849010837066,-2527.0880178203765,11.173542307404173,140.85801956266909
1,42,1,Markdown Type 1,2096.798184721443,3043.777699473113,125.06175776180172,-212.11271084349212
1,42,2,Markdown Type 2,616.3652343924277,1415.7754128818501,241.07285416614204,662.4785935888167
1,42,3,Markdown Type 3,224.23385006278818,455.6889308121123,201.1950958569435,336.2573735663305
1,42,4,Markdown Type 4,972.2427795732854,2147.254487121456,69.39509873537209,-234.7929684878383
1,42,5,Markdown Type 5,1297.2197904370707,1073.0834697114701,72.52642901685685,-89.46028782381687
1,44,1,Markdown Type 1,1203.3899658761698,13390.207112148846,66.67706406194756,739.6846127773712
1,44,2,Markdown Type 2,307.44495406618114,2454.420400084196,116.83266226311059,1005.9907002592532
1,44,3,Markdown Type 3,254.41447782502215,-414.0795970081821,238.53114510957002,-835.9171742980488
1,44,4,Markdown Type 4,554.1455677051947,5194.320217175557,37.354298513741305,418.79261399137334
1,44,5,Markdown Type 5,781.1277813765026,11412.791867599579,39.082976596577595,389.0692472700508
1,45,1,Markdown Type 1,1.4736024226996316,-45.57919591091343,0.13726504455831262,13.320085170369218
1,45,2,Markdown Type 2,0.9138898762828221,-24.924104084920636,0.048443697369052546,6.941541361820535
1,45,3,Markdown Type 3,0.01767679227761966,-0.7671008167573188,0.001102538536460404,0.0956252461254487
1,45,4,Markdown Type 4,0.32954138342258,-0.36973307315453935,0.0909224760894834,7.98604964168844
1,45,5,Markdown Type 5,1.2152835863523892,-41.089866114254065,0.0691483529946229,6.566698579996363
1,46,1,Markdown Type 1,5224.395652469319,3449.3702354798975,336.3577489875505,1972.0889218879954
1,46,2,Markdown Type 2,1777.605109249211,3568.365320196494,906.3586564339323,2012.0708222237588
1,46,3,Markdown Type 3,609.6213156775673,352.3134721171163,538.3747657480541,1095.8808670860224
1,46,4,Markdown Type 4,2384.925634559294,3531.5601575128467,167.72851718143605,1305.590789599619
1,46,5,Markdown Type 5,3274.000081549481,2279.5708146936418,205.00081833695813,1085.528599202604
1,47,1,Markdown Type 1,0.10157541811382834,-226.3922421653883,0,0
1,47,2,Markdown Type 2,0.001508708179927705,-3.1450996011652768,0,0
1,47,3,Markdown Type 3,0.023655560321149075,-60.414355021221404,0,0
1,47,4,Markdown Type 4,0.0009280344288586922,17.790823179064134,0,0
1,47,5,Markdown Type 5,0.10209981347182197,-246.83912639128917,0,0
1,48,1,Markdown Type 1,138.486844257366,11292.611127527083,8.6990009573852,632.3386840651042
1,48,2,Markdown Type 2,43.46641615995787,2536.494866531436,16.657521145680985,1127.4161150897048
1,48,3,Markdown Type 3,35.20700261426524,2489.551078750511,32.583170210981244,1870.580567237375
1,48,4,Markdown Type 4,51.12684850635066,4219.956764471337,4.838097198444865,380.0613765790835
1,48,5,Markdown Type 5,101.66951907817729,9972.386162719631,5.1885187654791265,377.60325702873286
1,49,1,Markdown Type 1,3199.9465337441306,-18472.600345298008,184.19291390187257,2721.820018698573
1,49,2,Markdown Type 2,945.8398011564213,1402.4734137621465,337.4091528639583,4384.201907608404
1,49,3,Markdown Type 3,292.7562340133975,-1520.3666104588608,259.05892215594355,-1196.561807088059
1,49,4,Markdown Type 4,1478.0284293078703,-6622.044378382724,102.34129021789553,1587.414547662176
1,49,5,Markdown Type 5,1969.2687148561233,-12451.952079622557,105.44628947322583,1505.8053331189062
1,52,1,Markdown Type 1,615.4944290849813,-6266.062856966212,32.44035780945218,21.206118847407435
1,52,2,Markdown Type 2,167.49565751649814,-1278.4257755061594,56.36559741831206,457.3720111337322
1,52,3,Markdown Type 3,105.97051411062706,-305.9327147176893,97.07614719608588,-239.848831478244
1,52,4,Markdown Type 4,275.8847317020306,-1506.3899159686353,18.174590985692692,-40.697967517620604
1,52,5,Markdown Type 5,414.13856012916324,-5158.798736841302,18.834801756030878,18.71866901472542
1,54,1,Markdown Type 1,11.861604519415552,-161.27899126938559,0.19681579156452136,40.744728187151566
1,54,2,Markdown Type 2,2.788430792306648,93.97178261026465,1.0670221351042777,87.13123835407596
1,54,3,Markdown Type 3,3.710261550374035,-110.93566651754256,3.4499219445860145,-93.98375486361721
1,54,4,Markdown Type 4,6.472480472720262,-40.08347095505117,0.047799599944649225,21.300638099747086
1,54,5,Markdown Type 5,8.293234905512215,-94.9336538682854,0.1617075477027929,22.467150222642577
1,55,1,Markdown Type 1,3346.131054517367,-15289.585251991002,267.7361665140942,477.94893364948445
1,55,2,Markdown Type 2,1480.4899586784525,5240.889834683092,820.6405600776973,5619.9463978407475
1,55,3,Markdown Type 3,995.7978451905287,-2578.304964974646,940.3007460799533,-1825.0994238627065
1,55,4,Markdown Type 4,1598.2965299613725,-6190.05576309881,123.75999514909772,-136.66936243046618
1,55,5,Markdown Type 5,2209.2291682572045,-11996.243854618648,170.20811664160038,418.44345480294
1,56,1,Markdown Type 1,998.9251568934637,1777.476782586371,20.112181984021703,891.767282012022
1,56,2,Markdown Type 2,148.9655063263013,-466.0047511409167,22.862281275889046,332.54921640291707
1,56,3,Markdown Type 3,50.5630503037079,534.6615908751347,41.820467849221075,541.8061995400215
1,56,4,Markdown Type 4,408.35033255202086,768.7804436132643,12.000836914453242,535.0412709039207
1,56,5,Markdown Type 5,557.7695510935106,220.50593406614888,11.013196227883377,435.58603114111867
1,58,1,Markdown Type 1,805.1201664750528,6488.569468497053,47.73917935092067,502.6053015612096
1,58,2,Markdown Type 2,212.04187674032173,1780.872476698884,97.89910963404726,499.9492352652153
1,58,3,Markdown Type 3,82.40129811923885,-284.70441154648745,73.81870041435693,-755.8813276286551
1,58,4,Markdown Type 4,371.72316213268584,770.8890245337772,25.813808020066556,433.31670841827224
1,58,5,Markdown Type 5,497.5285288429274,10524.433441816773,27.804599194103393,302.0100823839578
1,59,1,Markdown Type 1,185.53036744363234,-10997.666693167715,32.02003553649887,-448.6561546809002
1,59,2,Markdown Type 2,244.14804224718299,-3015.6793836148026,208.51492943640326,-1852.5298662650844
1,59,3,Markdown Type 3,59.146458324806765,-2164.0011245132355,49.3724577469237,-713.1714314884035
1,59,4,Markdown Type 4,61.51503161059385,-1606.4689806767972,8.13691190246736,-182.31999059869636
1,59,5,Markdown Type 5,189.58605587869732,-11516.263818027453,24.60572724212666,-300.222556966916
1,60,1,Markdown Type 1,287.3070800081907,-1328.5833776427603,19.387250955655897,-18.30835343070461
1,60,2,Markdown Type 2,83.65937432125786,-340.6560123820014,34.152030342887095,-196.71277450160014
1,60,3,Markdown Type 3,29.73519091911237,74.2527441910072,25.845474311176073,87.05600983853635
1,60,4,Markdown Type 4,134.48802067546,-354.6166758623092,10.823487378788279,0.4958225267014732
1,60,5,Markdown Type 5,179.71864025145047,-780.5966783039363,11.018433722099017,-16.330704432933004
1,67,1,Markdown Type 1,1915.6374078042156,8019.2261918885615,156.67096004730044,-221.79473244280447
1,67,2,Markdown Type 2,541.5066482521133,2693.422053923727,218.86253928616398,1354.2162417069985
1,67,3,Markdown Type 3,196.96146941997563,588.348076258977,173.28450313713736,567.1940081475511
1,67,4,Markdown Type 4,861.6495409464402,4235.790359317057,89.27829580003687,-244.57179434600664
1,67,5,Markdown Type 5,1127.3184970427226,8383.793318611677,85.74317248916019,-49.41372306573924
1,71,1,Markdown Type 1,739.7173002685334,3937.473227146823,55.74541209219994,1116.301970343735
1,71,2,Markdown Type 2,237.1426140374668,2509.7497892449896,109.41462104592601,1716.6495146394075
1,71,3,Markdown Type 3,131.30283866835433,1650.6552344295535,124.36262539277737,1408.7608335906614
1,71,4,Markdown Type 4,379.2174781749258,1997.009591216814,30.218653616803387,537.70228925202
1,71,5,Markdown Type 5,433.7859684279943,1545.8521579618198,32.48324494889671,588.695392174176
1,72,1,Markdown Type 1,12060.045889894649,51048.22692602308,972.0022554882137,12250.912087220417
1,72,2,Markdown Type 2,4137.575435028833,20183.06058848567,1905.6642019985327,14970.344415381409
1,72,3,Markdown Type 3,5792.569149733019,4762.501902244644,5630.89257213927,6867.796556065532
1,72,4,Markdown Type 4,5929.635136767377,24807.87588006056,503.58523246469815,6995.3335724177805
1,72,5,Markdown Type 5,7465.429923717776,30602.724703186046,585.6726778456397,6520.263368914857
1,74,1,Markdown Type 1,2969.6523368179555,16306.889771354821,208.8220320274588,863.0837438587223
1,74,2,Markdown Type 2,1153.3327842860488,-182.15528111465707,561.9238693268837,-933.4650473495043
1,74,3,Markdown Type 3,589.1661789909539,694.3848612460052,554.2366872356888,883.6983496141657
1,74,4,Markdown Type 4,1397.8282952836562,7697.17857552233,103.62918442332452,617.8721401584336
1,74,5,Markdown Type 5,1847.127661949083,8943.262072991503,128.79033336259587,378.69081371818197
1,79,1,Markdown Type 1,9483.855635562053,38507.71226263271,533.172186830067,6569.135721173834
1,79,2,Markdown Type 2,2620.0019707250663,9055.530901769145,986.6116137012018,2992.1819244049157
1,79,3,Markdown Type 3,943.8990600741477,5018.484754461948,839.8359047827198,4374.652837181892
