store,dept,weeks,window_sales,baseline_sales,yoy_lift_dollars,window_sales_holiday,baseline_sales_holiday
1,33,52,316267.85,294097.66,22170.19,27105.19,25081.58
1,34,52,638709.5,565530.22,73179.28,49849.68,47310.78
1,35,52,125589.8,135584.78,-9994.980000000001,10704.46,10125.21
1,36,52,85692.45,74113.04,11579.41,7684.6900000000005,4628.72
1,37,52,142123.09,143410.89,-1287.8000000000027,11505.06,12197.060000000001
1,38,52,4044365.3,3922378.47,121986.82999999996,269939.08,270942.37
1,40,52,3096356.99,3024534.9,71822.09000000003,237352.41,238528.44
1,41,52,45846.41,55713.36,-9866.949999999999,7435.04,5298.65
1,42,52,412560.9,403350.94,9209.960000000003,30502.4,30040.03
1,44,52,276112.81,243118.75,32994.06,22345.8,20628.18
1,45,11,268.28000000000003,333.63,-65.35,58.35,23.44
1,46,52,1052402.07,1038243.27,14158.799999999996,87610.75,80139.59
1,47,2,-430.0,89.0,-519.0,0,0
1,48,42,63247.0,32409.0,30838.0,7216.0,2828.0
1,49,52,567736.13,609190.8,-41454.67,50423.47,41420.79
1,52,52,108198.88,123391.93,-15193.05,9462.880000000001,9246.13
1,54,43,2003.96,2336.26,-332.30000000000007,234.14000000000001,156.48000000000002
1,55,52,663961.51,694655.31,-30693.800000000014,85393.17,80838.6
1,56,52,194508.3,191961.53,2546.7700000000013,7586.04,4849.29
1,58,52,170713.97,152551.91,18162.06,12025.0,11043.0
1,59,52,29562.61,58941.700000000004,-29379.09,5152.65,8649.550000000001
1,60,52,51731.2,54329.4,-2598.2,4104.8,4248.6
1,67,52,387284.18,363503.07,23781.109999999997,31609.68,30204.050000000003
1,71,52,149396.88999999998,137587.56,11809.329999999998,19442.03,14073.92
1,72,52,2620774.62,2464710.47,156064.15000000002,401738.92,354134.27
1,74,52,614362.14,582573.1,31789.040000000005,59590.2,57780.32
1,79,52,1830114.53,1723582.98,106531.54999999999,147071.0,124836.46
1,80,52,998921.21,847997.17,150924.04,75622.09,66070.36
1,81,52,1601845.79,1512720.02,89125.76999999999,119353.26000000001,115133.45999999999
1,82,52,1117266.72,1131304.22,-14037.5,93895.68,91889.88
1,83,52,305503.08,291300.52,14202.56,21316.33,21529.19
1,85,52,177011.0,185399.14,-8388.140000000001,13609.02,14049.42
1,87,52,2686649.89,2511116.61,175533.28,215460.8,191041.04
1,90,52,4631610.7,4253037.79,378572.91,373171.21,331251.33999999997
1,91,52,3450971.03,3323040.84,127930.18999999997,256727.16999999998,251042.77000000002
1,92,52,7567701.91,6927506.0,640195.9099999999,625488.94,571402.52
1,93,52,4007422.63,3727706.99,279715.64,316126.16000000003,297147.29
1,94,52,3287676.68,3323741.13,-36064.45000000004,251154.82,237805.79
1,95,52,6430601.06,6210985.84,219615.22,471743.37,451003.88
1,96,52,1888487.76,1657807.76,230680.0,152522.6,129117.03
1,97,52,1881043.75,1853733.51,27310.240000000013,139508.01,133611.41
1,98,52,656975.9,603448.06,53527.84,58640.45,54039.990000000005
1,99,7,425.24,1170.0,-744.76,0.05,40.0
2,1,52,1634691.22,1563164.99,71526.23000000003,123306.09,126928.61
2,2,52,3446290.71,3358059.12,88231.59,258094.24000000002,253563.08
2,3,52,901558.49,878748.66,22809.829999999998,62523.72,51822.64
2,4,52,2395433.08,2347789.03,47644.04999999999,199023.04,201053.41999999998
2,5,52,1605395.73,1702996.78,-97601.05000000003,199980.03,201979.41999999998
2,6,52,303084.33,376328.1,-73243.77,40309.13,44721.64
2,7,52,2284595.5,2258536.51,26058.990000000053,239996.84,232282.3
2,8,52,3109001.89,2985247.22,123754.66999999998,232415.41,235259.91999999998
2,9,52,1840098.2,1727152.76,112945.44000000002,157999.73,148235.11000000002
2,10,52,2008006.65,1983387.02,24619.629999999994,155433.14,157357.93
2,11,52,1203964.6,1236569.94,-32605.34000000002,94259.31,95298.61
2,12,52,397792.29,374844.59,22947.699999999993,26322.629999999997,25677.23
2,13,52,2364735.82,2326801.37,37934.450000000004,175977.72,187692.59
2,14,52,1184176.64,1109116.01,75060.62999999999,139718.06,121864.79000000001
2,16,52,1304936.11,1250236.07,54700.04,51614.29,43903.4
2,17,52,761745.67,693372.54,68373.13,73843.04,61752.61
2,18,38,577862.23,551932.3200000001,25929.90999999999,100756.23999999999,102277.39
2,19,52,191666.97,216866.18,-25199.21,14554.11,18041.87
2,20,52,301651.87,273574.34,28077.529999999995,25911.22,25117.05
2,21,52,467265.49,518901.54,-51636.05,38638.68,41476.29
2,22,52,708570.35,672002.46,36567.89,75781.63,69978.66
2,23,52,1546713.57,1514808.76,31904.80999999999,121753.75,115796.68
2,24,52,417188.61,441069.79,-23881.180000000008,34056.26,36548.45
2,25,52,766174.08,788017.79,-21843.710000000006,54840.58,59944.58
2,26,52,469111.91,480281.49,-11169.580000000005,38376.42,42654.57
2,27,52,99863.33,98415.85,1447.4800000000014,9371.27,9451.77
2,28,52,36414.840000000004,41594.95,-5180.11,3168.64,3703.89
2,29,52,366328.89,371956.38,-5627.489999999991,35301.36,33235.93
2,30,52,224537.18,254200.23,-29663.050000000003,18163.86,19434.96
2,31,52,200740.59,208509.85,-7769.26,12706.02,13832.05
2,32,52,608957.05,609804.08,-847.0300000000034,55479.009999999995,47244.78
2,33,52,380621.91,394275.38,-13653.470000000001,30787.17,34770.51
2,34,52,908580.0700000001,870724.65,37855.420000000006,62965.35,64315.75
2,35,52,198881.62,206017.54,-7135.920000000001,14370.599999999999,14122.92
2,36,52,137225.65,126996.47,10229.18,8884.01,5986.299999999999
2,37,52,233841.93,224001.96,9839.969999999998,18672.89,16986.45
2,38,52,4077747.68,4433050.42,-355302.73999999993,321699.26,325900.42
2,40,52,4098658.78,3970424.07,128234.70999999992,306559.02,317688.46
2,41,52,127387.59,144884.69,-17497.1,12053.779999999999,11693.5
2,42,52,462109.47,437099.1,25010.369999999995,33985.84,32565.300000000003
2,44,52,393980.83,375618.25,18362.580000000005,33812.51,31449.379999999997
2,45,7,154.55,234.07999999999998,-79.53,0,0
2,46,52,1603135.76,1546029.94,57105.81999999999,136076.64,122249.86
2,47,1,59.5,-1098.0,1157.5,0,0
2,48,50,89256.28,57458.08,31798.2,9148.0,5376.9400000000005
2,49,52,813752.18,802077.17,11675.010000000002,57910.17,47635.95
2,52,52,210851.78,216101.67,-5249.890000000003,20662.449999999997,17304.19
2,54,45,2181.34,2836.84,-655.5,258.56,318.6
2,55,52,644213.28,728892.27,-84678.98999999999,84892.02,91197.01
2,56,52,269993.5,263376.32,6617.179999999996,8081.3,8038.639999999999
2,58,52,1178467.0,984308.91,194158.09,113105.5,91318.0
2,59,52,51262.9,102710.24,-51447.34,11971.45,18790.31
2,60,47,13942.2,9141.0,4801.2,778.8,401.2
2,67,52,617749.45,611074.41,6675.0399999999945,46975.159999999996,49932.18
2,71,52,263454.38,230425.52,33028.86,24698.05,23842.010000000002
2,72,52,3938561.63,3958492.43,-19930.79999999999,552568.2000000001,540432.98
2,74,52,881338.39,862314.22,19024.17000000001,84505.0,90775.62
2,79,52,1664742.99,1688896.84,-24153.84999999998,132877.67,128184.73
2,80,52,1350610.2,1341930.42,8679.77999999998,101841.13,103818.9
2,81,52,1624589.43,1579713.37,44876.060000000005,119833.99,124269.73999999999
2,82,52,1406448.15,1308540.88,97907.27000000002,124285.01000000001,103092.43
2,83,52,302884.77999999997,287666.03,15218.75,21236.52,22147.07
2,85,52,167018.57,197839.85,-30821.28,13254.11,14099.36
2,87,52,1371951.26,1187718.13,184233.13,124607.85,95332.97
2,90,52,5287677.77,5019213.65,268464.12000000005,429770.82,409805.1
2,91,52,4212914.58,4129520.88,83393.69999999998,308979.05,316298.97
2,92,52,9076955.46,8462324.59,614630.8700000001,747682.47,715172.47
2,93,52,3935056.56,3662149.9,272906.66000000003,306113.33999999997,297139.25
2,94,52,3683940.81,3602395.7600000002,81545.04999999993,270802.7,265941.29000000004
2,95,52,7534752.94,7277817.44,256935.5,547839.04,550485.29
2,96,52,1849049.0,1721822.93,127226.06999999999,151104.09,163067.57
2,97,52,2134031.37,2122369.02,11662.349999999999,157540.1,159806.05
2,98,52,719142.04,726975.15,-7833.110000000004,62016.0,65306.92
2,99,9,6545.39,1378.0,5167.39,0.12,40.0
3,1,52,456858.33,364900.3,91958.03,34168.11,26981.21
3,2,52,975525.23,846432.17,129093.06,72074.23,62410.58
3,3,52,323802.37,273066.74,50735.630000000005,20551.82,16441.71
3,4,52,478597.59,428405.17,50192.42,37577.37,35113.39
3,5,52,771581.35,597371.96,174209.38999999998,95134.72,74467.67
3,6,52,104308.19,116589.73,-12281.539999999997,14289.49,20260.920000000002
3,7,52,586056.23,554975.68,31080.550000000003,72198.23000000001,65129.14
3,8,52,454787.35,416375.02,38412.33,33672.23,31012.95
3,9,52,573688.13,455146.08,118542.05,46767.18,42458.57
3,10,52,669310.9,539395.41,129915.49,48007.72,38823.130000000005
3,11,52,561300.88,443768.25,117532.63,33479.83,25858.86
3,12,52,131215.96,119062.06999999999,12153.890000000001,7421.82,7186.85
3,13,52,620036.23,572983.69,47052.54,45386.56,45600.87
3,14,52,269128.92,233796.52,35332.4,29168.5,27647.84
3,16,52,440355.67,352217.71,88137.95999999999,17689.79,14130.41
3,17,52,142085.47,133442.41,8643.060000000001,14226.150000000001,11390.94
3,18,37,144606.79,140502.35,4104.439999999996,22184.77,20944.53
3,19,52,31323.32,41636.78,-10313.460000000001,2093.19,3438.78
3,20,52,109315.8,76212.78,33103.020000000004,9041.16,6298.77
3,21,52,72320.37,62595.39,9724.98,5676.12,4915.91
3,22,52,201479.75,147021.44,54458.31,20815.48,17571.69
3,23,52,702295.3,547730.84,154564.46,50292.23,44472.36
3,24,52,160659.35,148847.31,11812.039999999999,13802.6,11180.75
3,25,52,258896.09,207881.17,51014.920000000006,18558.14,14936.22
3,26,52,151132.02,149301.34,1830.679999999999,11891.44,14561.74
3,27,52,27450.42,26262.08,1188.3399999999997,2763.91,2590.34
3,28,52,8283.36,9039.23,-755.8700000000001,724.43,988.96
3,29,52,78688.41,78000.56,687.8500000000009,7970.88,8654.369999999999
3,30,52,73196.5,57621.8,15574.7,4837.99,3949.82
3,31,52,49335.12,43589.43,5745.6900000000005,3418.06,2550.1
3,32,52,269886.4,216720.79,53165.61,29283.85,17545.91
3,33,52,190675.47,160088.84,30586.630000000005,16536.36,11709.88
3,34,52,262476.62,236112.75,26363.870000000003,20208.01,19814.010000000002
3,35,52,71037.66,80406.89,-9369.23,5568.3099999999995,6844.67
3,36,52,25859.0,38836.58,-12977.58,1897.27,2462.7
3,38,52,4815546.05,5836835.95,-1021289.9,343126.36,427297.34
3,40,52,1027846.25,918556.67,109289.57999999999,75613.68000000001,74997.25
3,41,52,28753.27,35423.14,-6669.87,3766.88,4261.51
3,42,52,260203.07,226563.68,33639.39,22020.32,17967.66
3,44,52,128938.8,112159.39,16779.41,10618.26,8588.68
3,46,52,353937.47000000003,333154.2,20783.270000000004,29528.09,29914.45
3,49,4,77.22,106.92,-29.7,0,0
3,51,5,22.439999999999998,16.68,5.76,0,0
3,52,52,54801.03,49140.56,5660.47,5129.12,3334.59
3,54,25,881.0,1269.88,-388.88,0,0
3,55,52,427971.21,386756.32,41214.89,53447.5,46497.49
3,56,52,88271.71,76733.03,11538.679999999998,3050.3199999999997,2267.77
3,59,33,5847.57,15208.02,-9360.45,877.23,2582.59
3,60,52,7090.6,7374.4,-283.8,513.8,616.0
3,67,52,107425.91,105649.48,1776.4299999999998,9368.68,7984.15
3,71,52,75808.8,48466.64,27342.16,7570.92,4839.01
3,72,52,1507586.26,1165551.45,342034.81,193834.74,166811.52000000002
3,74,52,195303.62,161160.77,34142.85,18408.33,17901.91
3,79,52,384838.16,374746.91,10091.25,30700.48,28688.370000000003
3,80,1,0.97,7.5,-6.53,0,0
3,81,52,90922.71,70275.24,20647.47,6690.32,5085.14
3,82,52,407227.7,344754.77999999997,62472.920000000006,33822.46,28915.62
3,85,52,38424.92,46981.49,-8556.569999999998,2351.51,3189.2
3,87,52,65734.97,31347.739999999998,34387.23,5342.87,2735.25
3,90,52,91930.68,81019.04,10911.64,7171.6,5917.7
3,91,52,20525.9,13567.04,6958.86,1213.38,939.1800000000001
3,92,52,470251.05,381391.58,88859.47,34702.86,30887.78
3,94,14,13326.94,10439.95,2886.9900000000007,435.86,312.5
3,95,52,916354.93,781456.97,134897.96,61025.73,52275.36
3,96,52,198244.68,207134.23,-8889.55,16023.83,19809.329999999998
3,97,49,23024.62,16372.81,6651.8099999999995,1052.52,893.6800000000001
3,98,7,413.01,175.0,238.01,23.73,25.0
4,1,52,2031169.51,1899283.92,131885.59,160501.59,151704.05
4,2,52,5143443.25,4927588.58,215854.66999999998,379892.29,361984.86
4,3,52,1031309.08,964467.96,66841.12,62196.53,60769.24
4,4,52,3097457.57,2913443.88,184013.69,250505.72,234509.06
4,5,52,2461385.91,2563827.39,-102441.48,265515.18,279293.22
4,6,52,421785.79,428412.55,-6626.759999999998,51524.72,52867.68000000001
4,7,52,3046357.52,2763849.38,282508.14,300775.23,247480.59
4,8,52,3265883.97,3263765.78,2118.190000000024,242687.93,249621.89
4,9,52,1985991.8,1798207.66,187784.14,161519.93,131800.87
4,10,52,2103289.56,1929026.83,174262.73,159544.55,141494.74
4,11,52,1438115.09,1503107.36,-64992.27000000002,103560.97,111381.71
4,12,52,400524.36,420000.55,-19476.19,26225.59,28455.67
4,13,52,3771401.08,3595901.84,175499.24,286204.69,265617.75
4,14,52,1629467.6199999999,1528427.65,101039.97,167961.59,157557.87
4,16,52,1025913.29,1013666.17,12247.119999999994,32319.45,28582.76
4,17,52,822045.38,834103.16,-12057.78000000001,71300.7,69913.85
4,18,43,705105.15,648942.32,56162.83000000001,116038.81999999999,100910.06999999999
4,19,52,141599.5,165370.59,-23771.09,10718.4,13155.13
4,20,52,486168.76,457214.53,28954.229999999992,36898.87,37722.48
4,21,52,433280.92,458321.94,-25041.020000000008,34840.38,34977.75
4,22,52,1002135.93,902480.51,99655.42,98042.58,89590.76
4,23,52,2627436.16,2468745.34,158690.82,209875.5,184923.38
4,24,52,600793.74,574827.58,25966.160000000003,49837.97,46242.27
4,25,52,848776.12,827903.41,20872.71,65950.82,58512.19
4,26,52,999596.7,965604.59,33992.11,81529.11,77570.41
4,27,52,145974.95,138887.83,7087.119999999999,13756.19,12835.710000000001
4,28,52,45472.63,51270.27,-5797.64,3686.1099999999997,4443.35
4,29,52,556608.97,494127.23,62481.73999999999,50202.96,42310.76
4,30,52,373112.87,421088.3,-47975.43,27641.64,32035.82
4,31,52,202460.65,206601.89,-4141.240000000002,13101.009999999998,13943.31
4,32,52,760966.9,755598.42,5368.480000000002,75841.23,62034.39
4,33,52,689717.16,635653.72,54063.43999999999,56722.17,52032.44
4,34,52,1452972.76,1302132.15,150840.61000000002,115260.64,101872.54000000001
4,35,52,230338.3,230286.26,52.04000000000087,17157.260000000002,16836.18
4,36,52,197780.17,153489.88,44290.29,10817.01,8773.22
4,37,52,188539.54,177298.47,11241.07,13467.29,12597.01
4,38,52,4168192.03,4251803.91,-83611.88000000006,304399.79,299167.29
4,40,52,4246077.1,4076465.88,169611.21999999994,318344.98,317469.66000000003
4,41,52,61416.04,46424.62,14991.42,6318.62,3615.0
4,42,52,536456.68,468256.0,68200.68,38021.979999999996,31184.08
4,44,52,296560.22,280354.81,16205.410000000002,25463.83,23381.66
4,45,2,35.910000000000004,41.88,-5.969999999999999,11.97,10.47
4,46,52,2186978.96,2049006.28,137972.68,167599.01,148715.33000000002
4,48,51,167609.26,105707.53,61901.729999999996,18028.12,8777.0
4,49,52,352282.59,355544.65,-3262.059999999997,24208.46,20842.649999999998
4,52,52,192028.72,199693.63999999998,-7664.919999999998,18353.12,16482.11
4,54,49,2473.7,4756.2,-2282.5,288.15999999999997,451.44
4,55,52,977527.1,1061642.68,-84115.58000000002,118606.14,115100.62
4,56,52,305177.07,299175.54,6001.529999999998,5190.21,6364.64
4,58,52,227492.0,344068.81,-116576.81,16137.0,30410.75
4,59,52,64748.81,122776.84,-58028.030000000006,8898.08,16210.460000000001
4,60,52,20149.5,21988.0,-1838.5000000000002,1123.4,1452.0
4,67,52,679467.12,627091.22,52375.899999999994,53435.35,50382.92
4,71,52,424558.19,411023.29,13534.900000000009,43396.130000000005,38593.57
4,72,52,5721331.47,5620696.46,100635.00999999994,729405.49,721345.42
4,74,52,1098876.19,1095578.86,3297.329999999991,106300.15,104971.57
4,79,52,2857612.08,2648955.53,208656.55,224152.15,202200.1
4,80,52,1106544.3,1017004.5,89539.79999999999,83951.01999999999,74847.6
4,81,52,1701251.55,1577392.15,123859.39999999998,126549.88,115317.83
4,82,52,1809140.06,1576870.96,232269.1,149788.40000000002,114824.15
4,83,52,502210.22,468234.93,33975.28999999999,35262.4,33804.07
4,85,52,139170.84,140037.09,-866.2499999999995,10759.45,9885.03
4,87,52,845160.74,659984.11,185176.63,64866.13,47920.16
4,90,52,4961536.37,4662857.24,298679.13000000006,398307.22,363844.7
4,91,52,3577342.13,3432502.35,144839.77999999994,269150.17,254516.02000000002
4,92,52,9065669.52,8177991.22,887678.2999999998,737172.33,657899.8
4,93,52,3879972.83,3508225.08,371747.74999999994,313315.93,280013.72000000003
4,94,52,3779611.2800000003,3457269.9,322341.38,272026.89999999997,250649.56
4,95,52,8107462.28,7607677.87,499784.41000000015,570660.87,532925.28
4,96,52,2259512.67,1987042.27,272470.4,193553.06,171481.86
4,97,52,2114356.06,2036313.79,78042.27000000002,151266.61000000002,147134.46
4,98,52,816910.16,796212.12,20698.04,77518.88,76696.09
4,99,9,10190.289999999999,1261.0,8929.29,0.07,60.0
5,1,52,553325.92,497578.7,55747.22,42021.24,38199.24
5,2,52,661165.39,631778.13,29387.26000000001,51954.28,46524.42
5,3,52,216211.23,211878.07,4333.159999999998,15963.16,13482.0
5,4,52,527267.18,507841.08,19426.1,42878.96,41115.770000000004
5,5,52,352957.91,366202.46,-13244.55,48094.0,55055.68
5,6,52,48016.47,71226.22,-23209.75,11787.0,16023.31
5,7,52,353564.59,319744.81,33819.78,48654.59,37821.05
5,8,52,750300.62,698132.87,52167.75,56249.3,53786.55
5,9,52,451154.47,385218.81,65935.65999999999,47611.75,36536.87
5,10,52,521080.74,495680.5,25400.23999999999,40739.51,37713.1
5,11,52,403216.51,391493.47000000003,11723.039999999994,31659.940000000002,29790.55
5,12,52,137592.33,123421.23,14171.1,9125.39,8113.28
5,13,52,592148.8099999999,568161.33,23987.479999999992,46051.58,43207.6
5,14,52,198619.22,197595.31,1023.9099999999971,27094.76,24973.21
5,16,52,404264.89,360771.62,43493.26999999999,18004.620000000003,13999.25
5,17,52,134667.92,124226.58,10441.339999999998,14817.39,11993.43
5,18,35,93387.87,94985.88,-1598.0100000000016,13827.34,14327.880000000001
5,19,17,671.0,920.73,-249.73000000000002,119.0,160.0
5,20,52,64893.24,59362.92,5530.32,7383.99,5703.01
5,21,52,65729.89,67623.93,-1894.0399999999988,6240.7,5672.28
5,22,52,132806.63,132186.08000000002,620.5499999999976,17667.63,16945.82
5,23,52,341136.39,319115.9,22020.49,30197.29,27346.01
5,24,52,84496.75,78680.19,5816.5599999999995,8237.39,7080.86
5,25,52,156908.56,129800.68,27107.88,12573.990000000002,9344.96
5,26,52,94081.57,96423.93000000001,-2342.3599999999997,8351.06,8756.2
5,27,52,22480.43,19737.33,2743.1,2248.59,1972.03
5,28,52,9367.37,11302.5,-1935.13,770.99,1039.99
5,29,52,59828.17,75243.91,-15415.74,6290.06,7156.639999999999
5,30,52,42864.1,38330.3,4533.8,3030.68,2974.3
5,31,52,37125.98,33804.63,3321.35,2748.78,2329.31
5,32,52,136199.8,128229.12,7970.679999999999,14306.630000000001,9552.87
5,33,52,86654.5,83971.68,2682.82,8406.39,6919.599999999999
5,34,52,200087.95,183111.62,16976.33,15790.73,15463.58
5,35,52,49137.97,67126.76,-17988.79,4565.5199999999995,4570.25
5,36,52,28475.71,31754.7,-3278.99,2317.61,1653.82
5,38,52,3125349.17,2777255.78,348093.39,220606.23,203236.51
5,40,52,1039167.86,989644.37,49523.49000000002,80688.77,83573.87
5,41,52,39896.43,25019.18,14877.25,4993.58,2558.27
5,42,52,156384.7,148018.38,8366.319999999998,10637.81,10967.28
5,44,52,73730.54,67571.45,6159.089999999999,6297.110000000001,5481.69
5,45,15,424.39,284.96,139.43,82.28999999999999,34.480000000000004
5,46,52,259193.63,261874.46,-2680.83,23368.96,20956.47
5,49,4,116.97,139.59,-22.619999999999997,0,0
5,52,52,26882.36,27093.73,-211.37000000000043,2581.05,2987.1
5,54,20,905.52,839.24,66.28,31.759999999999998,136.84
5,55,52,186846.25,189551.55,-2705.299999999998,25139.97,26264.04
5,56,52,74479.06999999999,57587.57,16891.5,1708.79,1658.6200000000001
5,58,36,31160.0,25218.0,5942.0,655.0,1050.0
5,59,16,1708.04,2408.4,-700.3599999999999,507.59000000000003,285.29999999999995
5,60,52,12897.6,11862.4,1035.1999999999998,885.0,827.2
5,67,52,169997.2,153520.76,16476.44,13756.94,12224.68
5,71,52,24187.79,25673.23,-1485.4399999999996,3875.83,3575.91
5,72,52,673700.92,628197.28,45503.64,147081.39,129975.68000000001
5,74,52,192143.8,176566.41,15577.390000000001,21254.73,20985.27
5,79,52,268213.31,253358.11,14855.199999999997,22291.58,21180.23
5,81,52,154850.71,129250.26,25600.45,11088.07,9495.07
5,82,52,215253.07,207287.62,7965.450000000003,20821.460000000003,16636.329999999998
5,85,52,44314.68,48987.11,-4672.43,3144.43,3151.57
5,87,52,601638.24,514586.27999999997,87051.96,48582.15,37869.83
5,90,52,175135.89,164329.69,10806.2,14005.79,11652.27
5,91,52,82041.97,77250.73,4791.24,6360.58,5056.69
5,92,52,454967.21,389043.84,65923.37,36949.26,32266.239999999998
5,94,23,10469.85,9576.07,893.78,620.3100000000001,452.58000000000004
5,95,52,1049234.46,989364.04,59870.42,76732.01,70459.6
5,96,52,380071.0,298846.13,81224.87,30772.519999999997,24506.83
5,97,52,36300.98,34393.72,1907.2599999999998,2526.32,2379.48
6,1,52,1270322.16,1199607.01,70715.15000000001,97673.23,91267.16
6,2,52,2708974.19,2525390.09,183584.1,206630.58000000002,191818.66
6,3,52,886069.53,859837.27,26232.260000000002,67167.95,55454.31
6,4,52,1829771.75,1752041.97,77729.77999999997,147515.2,139876.36
6,5,52,1763790.2,1933271.63,-169481.43000000002,215969.63,225094.31
6,6,52,325617.7,396102.2,-70484.5,47654.02,49747.66
6,7,52,1865306.25,1952134.46,-86828.20999999999,195618.71,176918.05000000002
6,8,52,2556400.99,2484428.9899999998,71972.00000000003,191257.97,187411.57
6,9,52,2541084.38,2402582.46,138501.92,242314.77,201069.40999999997
6,10,52,2524788.85,2380084.43,144704.41999999998,191877.09999999998,186187.17
6,11,52,1140405.05,1174501.86,-34096.810000000005,88122.22,89078.8
6,12,52,332738.32,338430.59,-5692.269999999998,23193.05,22880.57
6,13,52,1947816.22,1890186.15,57630.07000000001,145717.91,144716.6
6,14,52,1437590.71,1327788.47,109802.24,152012.38,134334.4
6,16,52,1414701.55,1314520.29,100181.25999999998,60794.130000000005,45865.07
6,17,52,849560.11,834137.44,15422.670000000002,73597.84,68103.44
6,18,39,584444.9400000001,556545.0,27899.94,95240.65000000001,91095.09
6,19,52,166532.96,125108.14,41424.82,11550.78,9587.85
6,20,52,486966.13,459545.59,27420.54,39823.25,37186.909999999996
6,21,52,426558.2,468221.66000000003,-41663.46000000001,34419.13,37797.23
6,22,52,1004417.78,984624.38,19793.39999999998,102326.52,98261.28
6,23,52,1604755.19,1552217.5,52537.68999999999,121910.19,116877.68
6,24,52,359794.12,347716.49,12077.629999999997,28730.65,28084.93
6,25,52,676986.96,645210.88,31776.080000000005,46748.15,42697.63
6,26,52,470886.01,460273.04,10612.970000000003,37199.03,39094.95
6,27,52,97966.38,98883.67,-917.2899999999988,9697.710000000001,9507.3
6,28,52,28585.97,30359.07,-1773.1000000000001,2604.29,2775.48
6,29,52,356736.41,368879.75,-12143.339999999998,31533.02,30142.24
6,30,52,237778.78,266708.89,-28930.11,17852.84,19046.11
6,31,52,179965.45,169177.69,10787.76,12592.75,11265.81
6,32,52,593737.21,623323.72,-29586.509999999984,57934.08,45048.68
6,33,52,376724.25,368847.65,7876.600000000002,28908.34,30544.83
6,34,52,945359.03,871995.21,73363.81999999999,62971.71,68448.69
6,35,52,183502.61,184578.59,-1075.980000000001,11784.59,12025.970000000001
6,36,52,181754.31,166523.96,15230.349999999999,7999.62,7273.52
6,37,52,198248.03,197356.49,891.5399999999995,15960.58,15295.939999999999
6,38,52,3891544.04,3902568.03,-11023.989999999954,275736.24,269914.14
6,40,52,3542517.9,3345050.1,197467.8,267595.39,257289.09
6,41,52,137050.97,138983.45,-1932.4800000000014,15025.23,14971.75
6,42,52,513430.77,465279.39,48151.38,37062.68,33205.87
6,44,52,450743.41,375751.64,74991.77,36547.64,31375.18
6,45,2,83.78999999999999,60.849999999999994,22.939999999999998,0,0
6,46,52,1413570.22,1435108.41,-21538.189999999995,110453.05,105660.25
6,47,1,-149.0,-97.0,-52.0,0,0
6,48,51,128935.95,80609.92,48326.03,17169.97,8270.0
6,49,52,613088.29,678574.98,-65486.69,41137.31,46215.86
6,52,52,225145.01,207658.55,17486.460000000003,20263.67,14984.74
6,54,50,4622.16,6268.54,-1646.38,398.86,672.72
6,55,52,726395.24,933008.73,-206613.49,101237.52,111508.61
